Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1976,01,E,0000311005,4280,04,18144,27600,1
1976,01,E,0000320140,4039,04,4990,6655,1
1976,01,E,0001104640,1220,01,41780,24370,1
1976,01,E,0001104640,1220,02,11765,15645,1
1976,01,E,0001107540,1220,02,2268,3500,1
1976,01,E,0001107540,4280,04,108745,89627,1
1976,01,E,0001138020,1220,01,3402,2280,1
1976,01,E,0001141120,1220,02,2439,8064,1
1976,01,E,0001141140,1220,02,2460,7702,1
1976,01,E,0001142120,1220,01,3311,15025,1
1976,01,E,0001142120,1220,02,17109,95514,1
1976,01,E,0001142120,1220,04,862,5820,1
1976,01,E,0001142120,4210,04,517,4067,1
1976,01,E,0001142120,4231,04,1497,12548,1
1976,01,E,0001142120,4279,04,1624,12644,1
1976,01,E,0001142120,4280,04,1402,11098,1
1976,01,E,0001142120,4419,04,1647,12691,1
1976,01,E,0001142140,1220,02,8639,39201,1
1976,01,E,0001142140,4231,04,140,1266,1
1976,01,E,0001142800,1220,01,11267,68478,1
1976,01,N,0001774500,4279,04,14862,14224,1
1976,01,N,0001906500,1220,02,25099,11620,1
1976,02,E,0000311005,1220,02,38276,59070,1
1976,02,E,0001104620,1220,01,3810,17500,1
1976,02,E,0001104640,4231,04,203852,96800,1
1976,02,E,0001104640,4280,04,295903,111812,1
1976,02,E,0001107540,1220,01,6238,27503,1
1976,02,E,0001141120,1220,02,1981,6420,1
1976,02,E,0001141120,4280,04,188,1640,1
1976,02,E,0001142120,1220,01,3704,15670,1
1976,02,E,0001142120,1220,02,12838,78088,1
1976,02,E,0001142120,2320,04,164,800,1
1976,02,E,0001142120,4231,04,5349,47101,1
1976,02,E,0001142120,4279,04,4491,36078,1
1976,02,E,0001142120,4280,04,1236,9646,1
1976,02,E,0001142120,4330,04,152,1019,1
1976,02,E,0001142120,4419,04,1619,13416,1
1976,02,E,0001142120,4759,04,204,1955,1
1976,02,E,0001142140,1220,01,18071,37847,1
1976,02,E,0001142140,1220,02,11782,57584,1
1976,02,E,0001142140,4231,04,287,2460,1
1976,02,E,0001142800,1220,01,46055,267500,1
1976,02,E,0001143520,1220,01,11182,44454,1
1976,02,E,0001143520,1220,02,363,2480,1
1976,02,E,0001146000,1220,02,1778,12086,1
1976,02,N,0001774500,4759,04,13746,13742,1
1976,03,E,0001104620,2320,04,265,1034,1
1976,03,E,0001104640,1220,01,22680,3125,1
1976,03,E,0001104640,1220,02,6480,8000,1
1976,03,E,0001104640,2320,04,921,1218,1
1976,03,E,0001107540,1220,01,19958,9680,1
1976,03,E,0001115000,1220,01,650,3150,1
1976,03,E,0001138020,1220,01,7938,6020,1
1976,03,E,0001138020,1220,02,32572,28289,1
1976,03,E,0001141120,1220,02,6050,21335,1
1976,03,E,0001141140,1220,02,4817,18408,1
1976,03,E,0001142120,1220,01,5107,22798,1
1976,03,E,0001142120,1220,02,19198,114713,1
1976,03,E,0001142120,1220,04,1520,12570,1
1976,03,E,0001142120,2320,04,2268,2992,1
1976,03,E,0001142120,4231,04,8580,80363,1
1976,03,E,0001142120,4279,04,2676,24696,1
1976,03,E,0001142120,4280,04,2830,24195,1
1976,03,E,0001142120,4419,04,2460,22899,1
1976,03,E,0001142120,4759,04,215,2107,1
1976,03,E,0001142140,1220,02,4851,36763,1
1976,03,E,0001142800,1220,01,31650,171605,1
1976,03,E,0001142800,4099,04,12002,55461,1
1976,03,E,0001143520,1220,01,1946,10720,1
1976,03,E,0001146000,1220,02,771,2125,1
1976,03,E,0001147000,4120,02,13608,70800,1
1976,03,N,0001774500,4279,04,14710,10795,1
1976,03,N,0001774500,4759,04,27360,21785,1
1976,03,N,0001774500,5570,04,2800,2500,1
1976,03,N,0001906500,1220,02,25963,12020,1
1976,04,E,0000311005,1220,02,183754,186351,1
1976,04,E,0000320140,4280,04,3110,2900,1
1976,04,E,0001104620,2320,04,485,3462,1
1976,04,E,0001104640,1220,01,23844,29437,1
1976,04,E,0001104640,2320,04,1399,1727,1
1976,04,E,0001104640,4280,04,1101388,466029,1
1976,04,E,0001107520,2320,04,1006,3630,1
1976,04,E,0001107540,1220,01,3062,13500,1
1976,04,E,0001107540,1220,02,680,3000,1
1976,04,E,0001122100,1220,01,14170,31240,1
1976,04,E,0001138020,1220,01,32572,29710,1
1976,04,E,0001141140,1220,02,11273,19983,1
1976,04,E,0001142120,1220,01,10572,42168,1
1976,04,E,0001142120,1220,02,15126,77513,1
1976,04,E,0001142120,1220,04,567,4660,1
1976,04,E,0001142120,4210,04,367,3681,1
1976,04,E,0001142120,4231,04,9020,75995,1
1976,04,E,0001142120,4279,04,2835,21719,1
1976,04,E,0001142120,4280,04,163,1386,1
1976,04,E,0001142120,4419,04,2451,20890,1
1976,04,E,0001142140,1220,01,714,2362,1
1976,04,E,0001142140,1220,02,14190,48523,1
1976,04,E,0001142140,4231,04,300,2449,1
1976,04,E,0001142800,1220,01,42935,239676,1
1976,04,E,0001143520,1220,01,907,3200,1
1976,04,E,0001143520,1220,02,2109,2325,1
1976,04,E,0001146000,1220,01,18289,50400,1
1976,04,E,0001147000,1220,02,1134,6045,1
1976,04,N,0001774500,4759,04,13844,14795,1
1976,05,E,0000311005,1220,01,3888,6000,1
1976,05,E,0001104640,1220,02,20237,7575,1
1976,05,E,0001104640,2320,04,3002,4769,1
1976,05,E,0001104640,4280,04,247624,102545,1
1976,05,E,0001104640,4759,04,2735,6030,1
1976,05,E,0001107520,2320,04,141,628,1
1976,05,E,0001115000,1220,01,16098,39080,1
1976,05,E,0001122100,1220,01,3175,7000,1
1976,05,E,0001138020,1220,01,32572,31340,1
1976,05,E,0001142120,1220,01,9107,34522,1
1976,05,E,0001142120,1220,02,15128,61291,1
1976,05,E,0001142120,4231,04,4930,34949,1
1976,05,E,0001142120,4279,04,1134,6955,1
1976,05,E,0001142120,4280,04,311,2034,1
1976,05,E,0001142120,4419,04,1728,12633,1
1976,05,E,0001142120,4759,04,1334,4222,1
1976,05,E,0001142140,1220,01,3641,12040,1
1976,05,E,0001142140,1220,02,2700,8929,1
1976,05,E,0001142140,4231,04,630,4170,1
1976,05,E,0001142800,1220,01,24005,137984,1
1976,05,E,0001142800,1220,02,7610,18455,1
