Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
2007,01,E,0302120003,1220,01,104915,566530,1
2007,01,E,0302210000,4419,04,2266,43864,1
2007,01,E,0302290000,5880,04,279,3075,1
2007,01,E,0302650010,4120,04,4380,19104,1
2007,01,E,0302650010,4210,04,21338,128278,1
2007,01,E,0302650010,4279,04,21522,123497,1
2007,01,E,0302650010,4759,04,1020,6123,1
2007,01,E,0302650010,5310,04,4420,25890,1
2007,01,E,0302694075,4120,04,9839,98629,1
2007,01,E,0302694075,4210,04,11360,90692,1
2007,01,E,0302694075,4279,04,1950,21247,1
2007,01,E,0302694075,5310,04,350,9360,1
2007,01,E,0302694075,5800,04,23000,100000,1
2007,01,E,0302697100,1220,01,6194,28283,1
2007,01,E,0302697100,4120,04,4615,24580,1
2007,01,E,0302697100,4210,04,1625,8351,1
2007,01,E,0302697100,4279,04,12416,59645,1
2007,01,E,0302697100,5310,04,10762,54149,1
2007,01,E,0302705000,5880,04,1180,9040,1
2007,01,E,0303720000,1220,01,10034,15688,1
2007,01,E,0303730000,1220,01,16098,22017,1
2007,01,E,0303730000,4700,04,21432,28235,1
2007,01,E,0303750010,4279,02,23726,65461,1
2007,01,E,0303750010,4280,02,75989,184275,1
2007,01,E,0303760000,5800,04,21690,38000,1
2007,01,E,0303780000,4700,04,4689,17650,1
2007,01,E,0303790052,4120,02,20387,84199,1
2007,01,E,0303790052,4279,02,86655,360286,1
2007,01,E,0303790052,4280,02,5016,20717,1
2007,01,E,0303790052,5800,04,46000,193000,1
2007,01,E,0303796190,1220,01,3908,8081,1
2007,01,E,0303804095,4010,04,5739,96312,1
2007,01,E,0304190043,4419,04,372,2862,1
2007,01,E,0304195020,1220,01,1316,11005,1
2007,01,E,0304195020,4120,04,2041,15075,1
2007,01,E,0304195090,1220,01,4055,14060,1
2007,01,E,0304195090,1220,02,1567,10112,1
2007,01,E,0304195090,4120,04,5505,22712,1
2007,01,E,0304195090,4279,04,11424,65638,1
2007,01,E,0304195090,4759,04,720,4286,1
2007,01,E,0304293025,1220,01,5760,35782,1
2007,01,E,0304299000,1220,01,5783,15851,1
2007,01,E,0304299000,1220,02,4491,25918,1
2007,01,E,0304299000,4010,04,2747,16321,1
2007,01,E,0304299000,4120,02,6407,28048,1
2007,01,E,0304299000,4279,02,55890,232681,1
2007,01,E,0304991005,1220,01,9878,28752,1
2007,01,E,0305490000,4120,04,533,2938,1
2007,01,E,0306120000,1220,01,1161,17651,1
2007,01,E,0306120000,4279,04,9333,142546,1
2007,01,E,0306120000,4280,04,16080,272026,1
2007,01,E,0306120000,4759,04,420,7159,1
