Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1997,01,E,0208200000,5600,04,26957,197613,0
1997,01,E,0302110010,1220,01,1416,8300,0
1997,01,E,0302110090,1220,01,6843,31601,0
1997,01,E,0302120003,1220,01,1324301,7460576,0
1997,01,E,0302120004,1220,01,20316,102703,0
1997,01,E,0302120062,1220,01,75875,326444,0
1997,01,E,0302210010,1220,01,47390,529289,0
1997,01,E,0302210090,4279,04,1395,17467,0
1997,01,E,0302230000,1220,01,21283,91463,0
1997,01,E,0302230000,4279,04,402,6138,0
1997,01,E,0302290010,1220,01,9736,23118,0
1997,01,E,0302290090,1220,01,4428,12734,0
1997,01,E,0302320000,2489,04,3238,28745,0
1997,01,E,0302320000,2720,04,7636,50499,0
1997,01,E,0302390040,2489,04,5616,19090,0
1997,01,E,0302390040,3070,04,396,3924,0
1997,01,E,0302500010,1220,01,102369,256904,0
1997,01,E,0302500090,1220,01,712,1332,0
1997,01,E,0302620000,1220,01,147628,401273,0
1997,01,E,0302630000,1220,01,39524,72226,0
1997,01,E,0302640000,4710,04,4588,23786,0
1997,01,E,0302650090,1220,01,21002,29924,0
1997,01,E,0302660000,4710,04,988,8198,0
1997,01,E,0302692010,1220,01,38447,115050,0
1997,01,E,0302692022,1220,01,4736,14529,0
1997,01,E,0302692023,1220,01,4965,12182,0
1997,01,E,0302692049,2720,04,992,6561,0
1997,01,E,0302694030,4279,04,100,1412,0
1997,01,E,0302694075,1220,01,3913,6646,0
1997,01,E,0302694096,2190,04,340,1875,0
1997,01,E,0302694096,4279,04,529,7527,0
1997,01,E,0302694096,4710,04,1516,11547,0
1997,01,E,0302704090,1220,01,277,12100,0
1997,01,E,0303310010,4039,04,1112,11943,0
1997,01,E,0303310030,4000,04,7280,35491,0
1997,01,E,0303390090,4210,04,295,4341,0
1997,01,E,0303500000,1220,01,65447,30631,0
1997,01,E,0303500000,4000,04,2520,3187,0
1997,01,E,0303600010,4039,04,108127,207351,0
1997,01,E,0303600010,4621,04,96000,164712,0
1997,01,E,0303600090,4039,01,17582,30649,0
1997,01,E,0303600090,4621,04,250956,343304,0
1997,01,E,0303710000,4710,04,14160,23506,0
1997,01,E,0303720000,4039,01,123444,217154,0
1997,01,E,0303720000,4039,04,655114,1125028,0
1997,01,E,0303730000,4039,04,20828,33424,0
1997,01,E,0303740000,1220,01,6140,4505,0
1997,01,E,0303740000,4710,04,5230,11051,0
1997,01,E,0303760000,1220,01,1542,12507,0
1997,01,E,0303770000,3570,04,23739,151775,0
1997,01,E,0303780000,3570,04,21999,35890,0
1997,01,E,0303792005,1220,01,7186,20429,0
1997,01,E,0303792015,1220,01,9903,24420,0
1997,01,E,0303794030,1220,01,748,1815,0
1997,01,E,0303794050,1220,01,10515,3224,0
1997,01,E,0303794095,1220,01,2495,3547,0
1997,01,E,0304101020,1220,01,135057,604602,0
1997,01,E,0304101020,4000,04,1648,10269,0
1997,01,E,0304101044,1220,01,6260,37321,0
1997,01,E,0304101044,4000,04,64568,360540,0
1997,01,E,0304101044,4621,01,8281,35611,0
1997,01,E,0304101048,1220,01,363,1959,0
1997,01,E,0304101050,1220,01,4091,27890,0
1997,01,E,0304101050,4000,04,57201,440743,0
1997,01,E,0304101055,1220,01,33249,117389,0
1997,01,E,0304104062,1220,01,15282,92657,0
1997,01,E,0304104065,1220,01,455,3168,0
1997,01,E,0304104075,1220,01,4326,21841,0
1997,01,E,0304104075,4000,04,2640,20073,0
1997,01,E,0304104080,1220,01,45013,301587,0
1997,01,E,0304104080,1220,02,2072,13583,0
1997,01,E,0304104085,1220,02,3345,23710,0
1997,01,E,0304104091,1220,01,6877,50495,0
1997,01,E,0304104091,1220,04,3229,8899,0
1997,01,E,0304104092,1220,01,8439,113982,0
1997,01,E,0304104092,5700,04,9071,30150,0
1997,01,E,0304104095,1220,01,45501,472182,0
1997,01,E,0304104095,4039,04,200,2006,0
1997,01,E,0304202011,1220,01,84624,279993,0
1997,01,E,0304202011,4000,04,213670,764484,0
1997,01,E,0304202011,4039,04,59257,125838,0
1997,01,E,0304202011,4621,01,3263,14028,0
1997,01,E,0304202012,4039,04,347565,1126073,0
1997,01,E,0304202012,4091,04,53888,175415,0
1997,01,E,0304202012,4099,04,215850,851415,0
