Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1980,01,E,0001104640,1220,01,293983,387179,1
1980,01,E,0001104640,1220,02,16168,19960,1
1980,01,E,0001104640,4231,04,408,1350,1
1980,01,E,0001104640,4279,02,38879,48000,1
1980,01,E,0001104640,4759,04,1739,10810,1
1980,01,E,0001107520,2320,04,113,1099,1
1980,01,E,0001107540,1220,01,2597,7734,1
1980,01,E,0001107540,1220,02,21344,28700,1
1980,01,E,0001107540,2320,04,434,1293,1
1980,01,E,0001107540,4231,02,18582,24580,1
1980,01,E,0001107540,4279,04,37267,151996,1
1980,01,E,0001107540,4280,04,18604,41000,1
1980,01,E,0001107540,4759,04,493,2526,1
1980,01,E,0001107540,6021,04,18144,44000,1
1980,01,E,0001121940,1220,04,159,2257,1
1980,01,E,0001132100,4231,04,16193,30515,1
1980,01,E,0001134500,4280,04,506,3600,1
1980,01,E,0001142120,1220,01,8224,33608,1
1980,01,E,0001142120,1220,02,23089,111680,1
1980,01,E,0001142120,2320,04,554,4826,1
1980,01,E,0001142120,4010,04,1286,7080,1
1980,01,E,0001142120,4231,04,1069,12115,1
1980,01,E,0001142120,4280,04,758,7523,1
1980,01,E,0001142120,4419,04,3739,25879,1
1980,01,E,0001142120,4759,04,799,10303,1
1980,01,E,0001142140,1220,01,8106,26807,1
1980,01,E,0001142140,1220,02,17912,60833,1
1980,01,E,0001142140,2320,04,73,1047,1
1980,01,E,0001142140,4120,04,430,3416,1
1980,01,E,0001142140,4231,04,1483,17999,1
1980,01,E,0001142140,4279,04,1326,14020,1
1980,01,E,0001142140,4280,04,1131,12663,1
1980,01,E,0001142140,4419,04,1608,15347,1
1980,01,E,0001142140,4759,04,245,2211,1
1980,01,E,0001143500,1220,01,44473,123137,1
1980,01,E,0001143500,1220,02,2901,10235,1
1980,01,E,0001143500,2320,04,693,3332,1
1980,01,E,0001143500,4280,04,1349,5991,1
1980,01,E,0001143500,4759,04,614,3500,1
1980,01,E,0001146000,1220,01,4128,4025,1
1980,01,E,0001147000,1220,02,680,5205,1
1980,01,E,0001147000,4280,04,274,5813,1
1980,01,N,0001845700,1220,02,38000,5457,1
1980,01,N,0001906500,1220,02,26303,12178,1
