Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1977,01,E,0000311005,4039,04,138749,36707,1
1977,01,E,0001104640,4280,04,55124,28576,1
1977,01,E,0001107540,1220,01,2429,10710,1
1977,01,E,0001107540,4231,04,660,2744,1
1977,01,E,0001107540,4280,04,234402,145780,1
1977,01,E,0001115000,2320,04,316,1341,1
1977,01,E,0001138020,1220,01,16286,23023,1
1977,01,E,0001141120,4231,04,362,2778,1
1977,01,E,0001141140,2320,04,218,2511,1
1977,01,E,0001142120,1220,01,11688,47892,1
1977,01,E,0001142120,1220,02,30242,140189,1
1977,01,E,0001142120,1220,04,968,6997,1
1977,01,E,0001142120,2320,04,137,884,1
1977,01,E,0001142120,4231,04,7398,73841,1
1977,01,E,0001142120,4280,04,286,2850,1
1977,01,E,0001142120,4419,04,1189,10498,1
1977,01,E,0001142140,1220,01,18144,48040,1
1977,01,E,0001142140,1220,02,4900,15452,1
1977,01,E,0001142140,1220,04,1248,11150,1
1977,01,E,0001142140,4280,04,612,5332,1
1977,01,E,0001142800,1220,01,28777,173794,1
1977,01,N,0001774500,4279,04,14661,16324,1
1977,01,N,0001774500,4759,04,15742,8686,1
1977,02,E,0000320140,6141,04,9313,15361,1
1977,02,E,0001104640,1220,01,283527,38990,1
1977,02,E,0001104640,1220,02,18144,2650,1
1977,02,E,0001104640,4279,04,42040,62098,1
1977,02,E,0001107540,1220,01,17962,30492,1
1977,02,E,0001107540,4120,04,18486,20378,1
1977,02,E,0001107540,4279,04,35562,26000,1
1977,02,E,0001115000,1220,01,3760,6216,1
1977,02,E,0001115000,1220,02,5850,28375,1
1977,02,E,0001115000,2320,04,178,1016,1
1977,02,E,0001138020,1220,01,17690,18750,1
1977,02,E,0001141140,1220,02,907,8000,1
1977,02,E,0001142120,1220,02,14403,64355,1
1977,02,E,0001142120,4210,04,1127,12972,1
1977,02,E,0001142120,4231,04,13195,107687,1
1977,02,E,0001142120,4280,04,386,4022,1
1977,02,E,0001142120,4419,04,1264,13614,1
1977,02,E,0001142140,1220,02,3922,12970,1
1977,02,E,0001142140,4279,04,408,3825,1
1977,02,E,0001142140,4419,04,245,2268,1
1977,02,E,0001142800,1220,02,3160,14973,1
1977,02,E,0001143520,1220,01,703,2480,1
1977,02,E,0001143520,1220,02,623,2198,1
1977,03,E,0000311005,4280,04,29937,41580,1
1977,03,E,0001104620,4231,04,5521,24342,1
1977,03,E,0001104640,1220,01,49260,27150,1
1977,03,E,0001104640,1220,02,18144,2650,1
1977,03,E,0001104640,4099,04,9979,18480,1
1977,03,E,0001104640,4280,04,859267,359800,1
1977,03,E,0001107520,2320,04,402,886,1
1977,03,E,0001107540,1220,01,18558,35035,1
1977,03,E,0001107540,2320,04,717,3576,1
1977,03,E,0001107540,4099,04,4536,34400,1
1977,03,E,0001107540,4280,04,713477,531821,1
1977,03,E,0001115000,1220,02,3066,14873,1
1977,03,E,0001115000,2320,04,711,4064,1
1977,03,E,0001138020,1220,01,9647,20225,1
1977,03,E,0001141120,1220,02,590,5135,1
1977,03,E,0001142120,1220,01,2066,7287,1
1977,03,E,0001142120,1220,02,28272,117069,1
1977,03,E,0001142120,1220,04,2495,16680,1
1977,03,E,0001142120,4231,04,7954,80235,1
1977,03,E,0001142120,4280,04,163,1638,1
1977,03,E,0001142120,4419,04,2671,21072,1
1977,03,E,0001142140,1220,02,3318,10973,1
1977,03,E,0001142140,4231,04,1457,14706,1
1977,03,E,0001142140,4419,04,396,4000,1
1977,03,E,0001142140,6021,04,6804,33300,1
1977,03,E,0001142800,1220,01,32024,209199,1
1977,03,E,0001142800,4010,04,1388,7283,1
1977,03,E,0001142800,4280,04,288,1848,1
1977,03,E,0001143520,1220,01,16329,55440,1
1977,03,E,0001143520,1220,02,635,5600,1
1977,03,E,0001143520,4099,04,1368,1584,1
1977,03,E,0001143520,6021,04,30822,150849,1
1977,03,E,0001144900,1220,02,1617,6807,1
1977,03,E,0001146000,1220,02,1814,5000,1
1977,04,E,0000320140,6021,04,36971,108561,1
1977,04,E,0001104640,1220,02,18144,4500,1
1977,04,E,0001104640,2320,04,706,936,1
1977,04,E,0001107520,2320,04,410,930,1
1977,04,E,0001107540,6021,01,8981,15246,1
1977,04,E,0001115000,2320,04,1454,7447,1
1977,04,E,0001142120,1220,01,26103,43655,1
1977,04,E,0001142120,1220,02,29429,106844,1
1977,04,E,0001142120,4231,04,6879,54968,1
1977,04,E,0001142120,4279,04,181,1300,1
1977,04,E,0001142120,4280,04,1175,7597,1
1977,04,E,0001142120,4419,04,535,4063,1
1977,04,E,0001142140,1220,02,3118,8773,1
1977,04,E,0001142140,2320,04,264,872,1
1977,04,E,0001142140,4280,04,217,1766,1
1977,04,E,0001142140,4419,04,442,3461,1
1977,04,E,0001142140,6021,04,27216,133200,1
1977,04,E,0001142800,1220,01,21087,124830,1
1977,04,E,0001142800,5880,04,14969,31020,1
1977,04,E,0001143520,1220,01,11000,49420,1
1977,04,E,0001143520,1220,02,1046,3690,1
1977,04,E,0001146000,1220,02,113,2737,1
1977,04,N,0001845700,1220,02,18000,2650,1
1977,05,E,0000311005,1220,01,8683,13400,1
1977,05,E,0000311005,5880,04,10882,11996,1
1977,05,E,0000320140,4039,04,2431,4473,1
1977,05,E,0000320140,6021,04,18194,56684,1
1977,05,E,0001104620,5880,04,8006,22945,1
1977,05,E,0001104640,1220,01,36967,39217,1
1977,05,E,0001104640,2320,04,842,1040,1
1977,05,E,0001104640,4210,04,2608,6250,1
1977,05,E,0001104640,4279,04,217,696,1
1977,05,E,0001104640,4280,04,289135,153858,1
1977,05,E,0001104640,4759,04,907,3572,1
1977,05,E,0001104640,5880,04,60246,27659,1
1977,05,E,0001107520,2320,04,499,1101,1
1977,05,E,0001107540,4280,04,278687,235000,1
1977,05,E,0001107540,4759,04,2409,8004,1
1977,05,E,0001107540,6021,01,35471,60214,1
1977,05,E,0001115000,2320,04,115,788,1
1977,05,E,0001142120,1220,01,11766,44900,1
1977,05,E,0001142120,1220,02,9533,33624,1
1977,05,E,0001142120,4231,04,13717,54092,1
1977,05,E,0001142120,4279,04,181,1300,1
1977,05,E,0001142120,4280,04,912,5453,1
1977,05,E,0001142120,4419,04,780,5302,1
1977,05,E,0001142120,4759,04,2745,11630,1
1977,05,E,0001142140,1220,04,14585,15344,1
1977,05,E,0001142140,2320,04,476,1574,1
1977,05,E,0001142140,4231,04,1361,9450,1
1977,05,E,0001142140,4419,04,860,3878,1
1977,05,E,0001142140,4700,04,18297,28237,1
1977,05,E,0001142140,6021,04,13608,66600,1
1977,05,E,0001142800,1220,01,45139,292960,1
1977,05,E,0001142800,1220,04,1089,16870,1
1977,05,E,0001143520,1220,01,33001,120992,1
1977,05,E,0001144900,1220,04,340,5025,1
1977,05,E,0001146000,1220,01,1043,2875,1
1977,05,E,0001146000,1220,02,795,2190,1
1977,05,N,0001845700,1220,01,5000,2900,1
1977,05,N,0001845700,1220,02,15000,3600,1
1977,06,E,0000311005,1220,01,29453,43173,1
1977,06,E,0000311005,5880,04,44966,90706,1
1977,06,E,0001104640,1220,01,155931,113941,1
1977,06,E,0001104640,2320,04,2081,2382,1
1977,06,E,0001104640,4280,04,291059,163254,1
1977,06,E,0001104640,4759,04,11112,28225,1
1977,06,E,0001104640,5880,04,9081,6487,1
1977,06,E,0001107520,2320,04,1582,3974,1
1977,06,E,0001107540,2320,04,272,974,1
1977,06,E,0001107540,4700,04,4990,9460,1
1977,06,E,0001115000,1220,02,850,4120,1
1977,06,E,0001115000,2320,04,440,2423,1
1977,06,E,0001122100,1220,01,907,2000,1
1977,06,E,0001138020,1220,01,16286,23023,1
1977,06,E,0001142120,1220,01,12610,21300,1
1977,06,E,0001142120,1220,02,9080,32030,1
1977,06,E,0001142120,4231,04,245,1755,1
1977,06,E,0001142120,4419,04,880,5790,1
1977,06,E,0001142120,5880,04,907,4880,1
1977,06,E,0001142140,1220,02,9973,32980,1
1977,06,E,0001142140,1220,04,1773,8280,1
1977,06,E,0001142140,4280,04,142,1528,1
1977,06,E,0001142140,4419,04,867,6193,1
1977,06,E,0001142140,6021,04,13608,66600,1
1977,06,E,0001142800,1220,01,49860,275369,1
1977,06,E,0001142800,4010,04,14081,95000,1
1977,06,E,0001142800,5880,04,13119,29370,1
1977,06,E,0001143520,1220,01,16990,60210,1
1977,06,E,0001143520,1220,02,3077,10852,1
1977,06,E,0001143520,4759,04,49759,87760,1
1977,06,E,0001146000,4279,04,131,1000,1
1977,06,N,0001845700,1220,02,18000,2650,1
1977,07,E,0000311005,1220,01,5085,5586,1
1977,07,E,0000320140,1220,02,11113,12250,1
1977,07,E,0001104640,1220,01,1755751,382423,1
1977,07,E,0001104640,1220,04,1514,2510,1
1977,07,E,0001104640,2320,04,946,1514,1
1977,07,E,0001104640,4210,04,18257,40250,1
1977,07,E,0001104640,4280,04,134670,91364,1
1977,07,E,0001104640,4759,04,8682,23879,1
1977,07,E,0001104640,5880,04,51933,39751,1
1977,07,E,0001107540,2320,04,272,898,1
1977,07,E,0001107540,4280,04,261068,211300,1
1977,07,E,0001107540,4759,04,408,1576,1
1977,07,E,0001115000,1220,01,953,4619,1
1977,07,E,0001115000,2320,04,1283,6511,1
1977,07,E,0001115000,5880,01,1178,13758,1
1977,07,E,0001141140,4010,04,12087,77449,1
1977,07,E,0001142120,1220,01,10081,39400,1
1977,07,E,0001142120,1220,02,40396,142140,1
1977,07,E,0001142120,1220,04,1814,10500,1
1977,07,E,0001142120,4279,04,388,2600,1
1977,07,E,0001142120,4419,04,2014,14437,1
1977,07,E,0001142140,1220,01,11241,40373,1
1977,07,E,0001142140,1220,02,2722,9000,1
1977,07,E,0001142140,2320,04,538,1894,1
1977,07,E,0001142140,4039,01,2046,5135,1
1977,07,E,0001142140,4231,04,930,7700,1
1977,07,E,0001142140,4419,04,1703,11616,1
1977,07,E,0001142140,6021,04,13608,66600,1
1977,07,E,0001142800,1220,01,24380,151570,1
