Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1987,01,E,0001104610,1220,01,23827,43125,1
1987,01,E,0001104676,5880,04,3798,33576,1
1987,01,E,0001107520,1220,04,399,2235,1
1987,01,E,0001107596,1220,01,23316,70422,1
1987,01,E,0001107596,4279,01,10210,65276,1
1987,01,E,0001107596,4279,04,34591,232609,1
1987,01,E,0001107596,5880,04,1215,10881,1
1987,01,E,0001134590,4279,04,14764,256600,1
1987,01,E,0001141100,1220,01,122310,306872,1
1987,01,E,0001141100,4120,04,478,5650,1
1987,01,E,0001141100,4231,04,757,9450,1
1987,01,E,0001141100,4419,04,643,7560,1
1987,01,E,0001142110,1220,01,2268,21750,1
1987,01,E,0001142110,1220,02,18194,157361,1
1987,01,E,0001142110,4120,04,8167,57250,1
1987,01,E,0001142110,4279,04,6804,77075,1
1987,01,E,0001142110,4419,04,1742,13440,1
1987,01,E,0001142110,5880,04,1220,11037,1
1987,01,E,0001142170,2320,04,845,9950,1
1987,01,E,0001142170,4279,04,953,10290,1
1987,01,E,0001142800,1220,01,14134,111057,1
1987,01,E,0001142800,5880,01,832,6419,1
1987,01,E,0001143515,1220,01,3629,12800,1
1987,01,E,0001143515,4039,04,11647,30000,1
1987,01,E,0001143530,1220,01,25090,88500,1
1987,01,E,0001143550,1220,01,2758,21283,1
1987,01,E,0001143550,5880,04,1179,13862,1
1987,01,E,0001143570,5880,01,16110,56827,1
1987,01,E,0001147000,4280,04,283,8256,1
1987,01,N,0001920600,1220,01,35925,12671,1
1987,01,N,0001920600,1220,02,8453,75564,1
1987,01,N,0001920600,4099,04,3515,45248,1
1987,01,N,0001920600,4120,04,181,2084,1
1987,01,N,0001920600,4210,04,299,2594,1
1987,02,E,0001104610,1220,01,154964,204125,1
1987,02,E,0001104615,1220,02,2971,4005,1
1987,02,E,0001104630,1220,01,23851,21930,1
1987,02,E,0001104630,4280,02,34442,37966,1
1987,02,E,0001104676,1220,01,40832,99837,1
1987,02,E,0001104676,1220,02,1892,4005,1
1987,02,E,0001104676,4120,02,19357,40968,1
1987,02,E,0001104676,5880,04,4643,38118,1
1987,02,E,0001107550,1220,01,3344,2875,1
1987,02,E,0001107596,1220,01,64917,145892,1
1987,02,E,0001107596,1220,04,737,3874,1
1987,02,E,0001107596,4280,04,702,4363,1
1987,02,E,0001107596,5880,04,1870,24473,1
1987,02,E,0001115010,1220,01,9072,38800,1
1987,02,E,0001126000,1220,01,5443,28500,1
1987,02,E,0001132100,4280,04,816,2556,1
1987,02,E,0001138040,4280,04,1352,8399,1
1987,02,E,0001141100,1220,01,471957,1642435,1
1987,02,E,0001141100,4120,04,2339,20220,1
1987,02,E,0001141100,4231,04,1034,12726,1
1987,02,E,0001141100,5880,01,21288,105600,1
1987,02,E,0001142110,1220,02,23134,198363,1
1987,02,E,0001142110,4010,04,549,3500,1
1987,02,E,0001142110,4120,04,272,1800,1
1987,02,E,0001142110,4280,04,1300,11409,1
1987,02,E,0001142110,5880,04,3378,40036,1
1987,02,E,0001142160,1220,01,2969,26298,1
1987,02,E,0001142170,4759,04,211,1762,1
1987,02,E,0001142600,4120,04,784,16830,1
1987,02,E,0001142800,1220,01,35691,346542,1
1987,02,E,0001142800,4280,04,342,2114,1
1987,02,E,0001142800,4419,04,979,12000,1
1987,02,E,0001142800,5880,01,12545,70400,1
1987,02,E,0001143515,1220,01,4465,15750,1
1987,02,E,0001143530,1220,01,50604,147450,1
1987,02,E,0001143560,4280,04,680,4228,1
1987,02,E,0001147000,1220,01,9796,69059,1
1987,02,N,0001845700,1220,01,16000,2006,1
1987,02,N,0001906500,5880,04,2723,2401,1
1987,02,N,0001920600,1220,02,20967,43724,1
1987,03,E,0001104610,1220,01,98442,140000,1
1987,03,E,0001104630,4280,02,30099,82946,1
1987,03,E,0001104676,1220,02,1003,2123,1
1987,03,E,0001104676,5880,04,5596,43740,1
1987,03,E,0001107596,1220,01,70820,151915,1
1987,03,E,0001107596,2320,04,1892,13477,1
1987,03,E,0001107596,4120,04,4197,3725,1
1987,03,E,0001107596,5880,04,793,10291,1
1987,03,E,0001115030,1220,02,1550,9738,1
1987,03,E,0001132100,1220,01,1896,9095,1
1987,03,E,0001141100,1220,01,108672,305497,1
1987,03,E,0001141100,2320,04,220,2274,1
1987,03,E,0001141100,4099,04,15749,194432,1
1987,03,E,0001141100,4231,04,3326,16500,1
1987,03,E,0001141100,5880,01,7096,35200,1
1987,03,E,0001142110,1220,01,2455,18947,1
1987,03,E,0001142110,1220,02,17834,149668,1
1987,03,E,0001142110,4000,04,171,1700,1
1987,03,E,0001142110,4120,04,1291,9000,1
1987,03,E,0001142110,4231,04,2502,23800,1
1987,03,E,0001142110,4279,04,8108,92600,1
1987,03,E,0001142110,4280,04,510,5836,1
1987,03,E,0001142110,5880,04,2815,31358,1
1987,03,E,0001142160,1220,01,2082,14688,1
1987,03,E,0001142170,2320,04,1138,13500,1
1987,03,E,0001142800,1220,01,19111,147467,1
1987,03,E,0001142800,4419,04,3137,41242,1
1987,03,E,0001142800,5880,01,7983,35200,1
1987,03,E,0001143512,1220,01,11975,19800,1
1987,03,E,0001143530,1220,01,6795,23970,1
1987,03,E,0001143550,1220,01,5679,43815,1
1987,03,E,0001143550,1220,02,1361,13800,1
1987,03,E,0001143550,5880,04,3199,40435,1
1987,03,E,0001143560,4000,04,197,2500,1
1987,03,E,0001147000,1220,01,10081,122682,1
1987,03,N,0001845700,1220,02,24000,3000,1
1987,03,N,0001906500,5880,04,2551,2250,1
1987,03,N,0001920600,1220,01,10528,165791,1
1987,03,N,0001920600,1220,02,5565,57978,1
1987,03,N,0001920600,4210,01,22153,286528,1
1987,03,N,0001920600,4280,04,249,2195,1
1987,04,E,0001104610,1220,01,37709,68250,1
1987,04,E,0001104630,1220,01,16168,44555,1
1987,04,E,0001104676,1220,01,20453,53500,1
1987,04,E,0001104676,5880,04,1436,11082,1
1987,04,E,0001107596,2320,04,5035,40933,1
1987,04,E,0001107596,4279,04,56828,253106,1
1987,04,E,0001115020,5880,04,602,4089,1
1987,04,E,0001122500,1220,01,7368,24756,1
1987,04,E,0001132100,1220,01,907,3740,1
1987,04,E,0001141100,1220,01,44465,136192,1
1987,04,E,0001141100,4231,04,2486,12330,1
1987,04,E,0001142110,1220,02,1831,14125,1
1987,04,E,0001142110,4010,04,313,2415,1
1987,04,E,0001142110,4210,04,1388,16830,1
1987,04,E,0001142110,4231,04,1598,12330,1
1987,04,E,0001142110,4279,04,4911,58175,1
1987,04,E,0001142110,5880,04,8382,91773,1
1987,04,E,0001142130,5880,04,506,1672,1
1987,04,E,0001142160,2320,04,2356,18980,1
1987,04,E,0001142170,4279,04,1987,27762,1
1987,04,E,0001142170,5830,04,1218,14300,1
1987,04,E,0001142800,1220,01,662,4740,1
1987,04,E,0001142800,4419,04,4447,55125,1
1987,04,E,0001142800,5880,01,13685,105600,1
1987,04,E,0001143550,1220,02,1944,15000,1
1987,04,E,0001143560,1220,01,1994,25284,1
1987,04,N,0001920600,1220,02,8732,89086,1
