Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1987,01,E,0001066000,5380,04,21092,115916,0
1987,01,E,0001101007,1220,01,92401,171524,0
1987,01,E,0001101009,1220,01,27475,56068,0
1987,01,E,0001101012,5880,04,6278,30504,0
1987,01,E,0001101060,1220,01,752737,104431,0
1987,01,E,0001101070,1220,01,153337,42267,0
1987,01,E,0001101070,5880,01,17214,4921,0
1987,01,E,0001101550,1220,01,689,2280,0
1987,01,E,0001101585,1220,01,945788,1543949,0
1987,01,E,0001101593,1220,01,1054787,2135656,0
1987,01,E,0001101599,1220,01,8664,10975,0
1987,01,E,0001101599,4710,04,228,1272,0
1987,01,E,0001102025,1220,01,9803,103482,0
1987,01,E,0001102025,1610,01,415,2009,0
1987,01,E,0001102025,4120,04,1452,9789,0
1987,01,E,0001102045,1220,01,17183,148845,0
1987,01,E,0001102045,4039,04,131415,759429,0
1987,01,E,0001102045,4120,04,16909,117694,0
1987,01,E,0001102050,4039,04,4485,30246,0
1987,01,E,0001102050,4099,04,9975,68957,0
1987,01,E,0001102500,4710,04,2425,7984,0
1987,01,E,0001102800,1220,01,52184,55546,0
1987,01,E,0001103000,4700,04,7784,60312,0
1987,01,E,0001103552,1220,01,131101,125739,0
1987,01,E,0001103560,1220,01,94800,229079,0
1987,01,E,0001103565,4210,04,12122,74551,0
1987,01,E,0001103565,4231,04,10353,98095,0
1987,01,E,0001103570,1220,01,13475,58803,0
1987,01,E,0001103570,4710,04,2106,7242,0
1987,01,E,0001103575,3550,04,10194,7822,0
1987,01,E,0001103575,3570,04,217558,129742,0
1987,01,E,0001104000,3570,04,74190,45357,0
1987,01,E,0001104000,4000,04,2409,7448,0
1987,01,E,0001104500,3570,04,54542,48416,0
1987,01,E,0001104710,1220,01,1103595,3475545,0
1987,01,E,0001104710,1220,02,57076,231258,0
1987,01,E,0001104710,1610,01,105828,349947,0
1987,01,E,0001104710,4000,04,411503,1451613,0
1987,01,E,0001104710,4039,04,611887,1959485,0
1987,01,E,0001104710,4099,04,1527512,4976982,0
1987,01,E,0001104710,4120,04,2096,6052,0
1987,01,E,0001104710,5800,04,215901,630274,0
1987,01,E,0001104724,1220,01,3473,8345,0
1987,01,E,0001104724,4000,04,9370,19780,0
1987,01,E,0001104724,4039,04,4251,13211,0
1987,01,E,0001104726,1220,01,9501,30379,0
1987,01,E,0001104726,1610,01,479,1271,0
1987,01,E,0001104726,4000,04,6347,15284,0
1987,01,E,0001104726,5800,04,79677,204290,0
1987,01,E,0001104730,1220,01,46942,149455,0
1987,01,E,0001104730,1610,01,988,2949,0
1987,01,E,0001104730,4000,04,64538,203596,0
1987,01,E,0001104730,4039,04,363199,1129118,0
1987,01,E,0001104730,4099,04,48690,160163,0
1987,01,E,0001104730,4120,04,52091,148848,0
1987,01,E,0001104740,1220,01,91361,219443,0
1987,01,E,0001104740,4000,04,52456,93705,0
1987,01,E,0001104740,4099,04,88913,188915,0
1987,01,E,0001104740,5800,04,902854,1731274,0
1987,01,E,0001104740,5880,04,62269,121250,0
1987,01,E,0001104755,3550,04,1173204,2027928,0
1987,01,E,0001104755,3570,04,212763,321840,0
1987,01,E,0001104755,4099,04,2395,4568,0
1987,01,E,0001104755,4550,04,199561,207547,0
1987,01,E,0001104760,1220,02,658,2255,0
1987,01,E,0001104760,4000,04,11477,26975,0
1987,01,E,0001104765,4000,04,146983,369054,0
1987,01,E,0001104765,4039,04,38579,95034,0
1987,01,E,0001105000,1220,02,53905,291269,0
1987,01,E,0001105520,1220,01,579952,2211393,0
1987,01,E,0001105520,1220,02,658,2231,0
1987,01,E,0001105520,4000,04,202211,588656,0
1987,01,E,0001105520,4039,04,4876,13441,0
1987,01,E,0001105520,4099,04,19595,49633,0
1987,01,E,0001105545,1220,01,366215,1742083,0
1987,01,E,0001105545,1220,02,39544,208139,0
1987,01,E,0001105550,1220,01,1823889,7940095,0
1987,01,E,0001105550,1220,02,19278,96245,0
1987,01,E,0001105550,1610,01,81279,362476,0
1987,01,E,0001105550,4000,04,1337961,5247956,0
1987,01,E,0001105550,4010,04,7511,32721,0
1987,01,E,0001105550,4039,04,365205,1509953,0
1987,01,E,0001105550,4099,04,229899,918693,0
1987,01,E,0001105550,4120,04,33521,132794,0
1987,01,E,0001105550,4210,04,64478,224117,0
1987,01,E,0001105550,5800,04,36496,125167,0
1987,01,E,0001105565,1220,01,58228,249739,0
1987,01,E,0001105565,4000,04,6450,35990,0
1987,01,E,0001105570,1220,01,430322,1457100,0
1987,01,E,0001105570,1610,01,3969,17918,0
1987,01,E,0001105570,4000,04,214693,808122,0
1987,01,E,0001105570,4039,04,357353,1193944,0
1987,01,E,0001105570,4099,04,422271,1811182,0
1987,01,E,0001105570,4120,04,195823,757187,0
1987,01,E,0001105570,5800,04,39499,95013,0
1987,01,E,0001105720,1220,01,15104,58203,0
1987,01,E,0001105720,4000,04,20661,89482,0
1987,01,E,0001105720,4039,04,4403,13538,0
1987,01,E,0001107033,1220,01,52794,382611,0
1987,01,E,0001107033,4210,04,10022,59384,0
1987,01,E,0001107033,4231,04,454,2660,0
1987,01,E,0001107038,1220,01,11142,45869,0
1987,01,E,0001107038,4000,04,10099,33335,0
1987,01,E,0001107038,4039,04,3924,13101,0
1987,01,E,0001107039,1220,01,434269,1936694,0
1987,01,E,0001107039,1610,01,1506,5832,0
1987,01,E,0001107039,3550,04,3742,11052,0
1987,01,E,0001107039,3570,04,144755,581400,0
1987,01,E,0001107039,4000,04,19332,68725,0
1987,01,E,0001107039,4099,04,20412,89386,0
1987,01,E,0001107039,4210,04,73741,299683,0
1987,01,E,0001107039,5800,04,157798,478169,0
1987,01,E,0001107039,5880,04,9072,21835,0
1987,01,E,0001107039,6141,04,13640,71815,0
1987,01,E,0001107040,4000,04,8119,42456,0
1987,01,E,0001107070,4099,04,2504,10017,0
1987,01,E,0001107070,4120,04,6033,61137,0
1987,01,E,0001107070,5800,04,907,4380,0
1987,01,E,0001107080,1220,01,42393,27754,0
1987,01,E,0001107080,3370,04,19990,63914,0
1987,01,E,0001107080,3550,04,116264,194002,0
1987,01,E,0001107080,3570,04,1005029,1499554,0
1987,01,E,0001107080,4000,04,3561,11556,0
1987,01,E,0001107080,4099,04,9600,36588,0
1987,01,E,0001107080,4210,04,32061,133312,0
1987,01,E,0001107080,5490,04,108467,523459,0
1987,01,E,0001107080,5800,04,89902,219911,0
1987,01,E,0001107080,5830,04,33113,121234,0
1987,01,E,0001107080,6141,04,372411,2251027,0
1987,01,E,0001112200,1220,01,245444,721379,0
1987,01,E,0001112200,4000,04,21319,99297,0
1987,01,E,0001112200,4280,04,15750,101470,0
1987,01,E,0001112800,1220,01,114320,557302,0
1987,01,E,0001113200,1220,01,377629,328957,0
