Year,MO,Edible,CommodityCode,Country,District,Kilos,Dollars,Trade
1979,01,E,0001104640,1220,01,141832,99730,1
1979,01,E,0001104640,1220,02,17627,24950,1
1979,01,E,0001104640,1220,04,4809,3480,1
1979,01,E,0001104640,2320,04,284,1211,1
1979,01,E,0001104640,4280,04,145560,112316,1
1979,01,E,0001104640,5880,04,116945,158926,1
1979,01,E,0001107520,1220,04,557,5616,1
1979,01,E,0001107540,1220,01,32439,69150,1
1979,01,E,0001107540,1220,02,1708,4143,1
1979,01,E,0001107540,2320,04,367,1093,1
1979,01,E,0001107540,4039,04,210605,134648,1
1979,01,E,0001107540,4279,02,17633,52500,1
1979,01,E,0001107540,4279,04,165,1527,1
1979,01,E,0001107540,4280,01,173907,145692,1
1979,01,E,0001107540,4280,04,668271,734231,1
1979,01,E,0001107540,4759,04,479,4918,1
1979,01,E,0001107540,5880,04,57833,115386,1
1979,01,E,0001126000,2320,04,149,1000,1
1979,01,E,0001132100,1220,01,4056,54262,1
1979,01,E,0001141120,1220,02,839,3700,1
1979,01,E,0001141140,1220,01,1279,2960,1
1979,01,E,0001141140,1220,02,2542,5885,1
1979,01,E,0001141140,4279,04,26273,95063,1
1979,01,E,0001141140,4280,04,313,2556,1
1979,01,E,0001142120,1220,01,9389,40640,1
1979,01,E,0001142120,1220,02,14153,92759,1
1979,01,E,0001142120,2320,04,55,1093,1
1979,01,E,0001142120,4010,04,1111,10290,1
1979,01,E,0001142120,4280,04,418,4048,1
1979,01,E,0001142120,4419,04,2913,23775,1
1979,01,E,0001142120,4759,04,1451,8146,1
1979,01,E,0001142140,1220,01,871,2880,1
1979,01,E,0001142140,1220,02,16098,66379,1
1979,01,E,0001142140,4099,04,80754,68378,1
1979,01,E,0001142140,4279,04,3040,14148,1
1979,01,E,0001142140,4280,04,189,2043,1
1979,01,E,0001142140,4419,04,572,5157,1
1979,01,E,0001142800,1220,01,54632,409523,1
1979,01,E,0001142800,4280,04,4820,33550,1
1979,01,E,0001143500,1220,01,3016,10638,1
1979,01,E,0001143500,1220,02,6533,28160,1
1979,01,E,0001143500,2320,04,314,2409,1
1979,01,E,0001143500,4099,04,396,9450,1
1979,01,E,0001143500,4280,04,4627,37230,1
1979,01,E,0001143500,5880,04,6550,15000,1
1979,01,E,0001146000,1220,02,816,6300,1
1979,01,N,0001845700,1220,02,67000,8321,1
1979,01,N,0001920600,1220,01,544,4020,1
1979,01,N,0001920600,1220,02,14173,76028,1
1979,02,E,0001104620,1220,01,6334,26532,1
1979,02,E,0001104640,1220,01,3233,3991,1
1979,02,E,0001104640,1220,02,51685,81485,1
1979,02,E,0001104640,4099,04,1222,2641,1
1979,02,E,0001104640,4330,04,151,1470,1
1979,02,E,0001104640,5880,04,47071,68160,1
1979,02,E,0001107540,1220,01,116277,284034,1
1979,02,E,0001107540,2320,04,102,1190,1
1979,02,E,0001107540,4099,04,52975,96882,1
1979,02,E,0001107540,4279,02,23511,70000,1
1979,02,E,0001107540,4280,01,435884,432432,1
1979,02,E,0001115000,1220,04,302,3486,1
1979,02,E,0001132100,1220,01,33371,106300,1
1979,02,E,0001141140,1220,01,1728,4000,1
1979,02,E,0001141140,2320,04,464,1074,1
1979,02,E,0001142120,1220,01,19845,70000,1
1979,02,E,0001142120,1220,02,9659,50435,1
1979,02,E,0001142120,2320,04,388,3560,1
1979,02,E,0001142120,4010,04,531,4770,1
1979,02,E,0001142120,4279,04,3827,13500,1
1979,02,E,0001142120,4280,04,155,2073,1
1979,02,E,0001142120,4419,04,2908,28215,1
1979,02,E,0001142140,1220,02,11234,57446,1
1979,02,E,0001142140,4279,04,2245,7425,1
1979,02,E,0001142140,4280,04,584,1930,1
1979,02,E,0001142140,4419,04,395,4255,1
1979,02,E,0001142800,1220,01,26446,210650,1
1979,02,E,0001143500,1220,01,19199,56586,1
1979,02,E,0001143500,2320,04,398,3328,1
1979,02,E,0001143500,4099,04,304022,158180,1
1979,02,E,0001143500,4279,04,610,2460,1
1979,02,E,0001143500,4419,04,176,1600,1
1979,02,E,0001143500,4759,04,204,1207,1
1979,02,E,0001144900,4280,04,14564,97000,1
1979,02,E,0001147000,4279,04,68,840,1
1979,02,N,0001920600,1220,01,590,4355,1
1979,02,N,0001920600,1220,02,6668,44747,1
1979,03,E,0001104620,1220,01,770,3225,1
1979,03,E,0001104640,1220,01,192213,123982,1
1979,03,E,0001104640,1220,02,10883,13436,1
1979,03,E,0001104640,4280,04,281537,189044,1
1979,03,E,0001104640,5880,04,9701,14972,1
1979,03,E,0001107520,1220,02,729,3295,1
1979,03,E,0001107520,1220,04,264,2667,1
1979,03,E,0001107540,1220,01,21904,65219,1
1979,03,E,0001107540,1220,02,1897,6155,1
1979,03,E,0001107540,4279,02,5878,17500,1
1979,03,E,0001107540,4279,04,6123,15525,1
1979,03,E,0001107540,4280,04,1005766,1190880,1
1979,03,E,0001107540,4419,04,127,1360,1
1979,03,E,0001107540,5880,04,16317,33199,1
1979,03,E,0001122100,1220,01,921,3020,1
1979,03,E,0001138040,1220,02,1187,3625,1
1979,03,E,0001141140,1220,02,3823,22750,1
1979,03,E,0001142120,1220,01,32588,157665,1
1979,03,E,0001142120,1220,02,1383,11900,1
1979,03,E,0001142120,2320,04,369,5918,1
1979,03,E,0001142120,4010,04,349,3400,1
1979,03,E,0001142120,4280,04,411,4195,1
1979,03,E,0001142120,4419,04,2999,26454,1
1979,03,E,0001142140,1220,01,19756,53897,1
1979,03,E,0001142140,1220,02,26314,108780,1
1979,03,E,0001142140,1220,04,45111,20390,1
1979,03,E,0001142140,4279,04,907,8900,1
1979,03,E,0001142140,4419,04,329,3533,1
1979,03,E,0001142140,4759,04,305,1252,1
1979,03,E,0001142800,1220,01,39401,329926,1
1979,03,E,0001142800,4010,04,17463,117425,1
1979,03,E,0001142800,4099,04,15513,107730,1
1979,03,E,0001142800,4280,04,4820,34722,1
1979,03,E,0001143500,1220,01,8802,34503,1
1979,03,E,0001143500,1220,02,3672,12950,1
1979,03,E,0001143500,2320,04,598,3633,1
1979,03,E,0001143500,4279,04,563,2812,1
1979,03,E,0001143500,4280,04,144,1500,1
1979,03,E,0001144900,4010,04,17232,55019,1
1979,03,E,0001146000,1220,01,3538,3450,1
1979,03,E,0001147000,1220,01,21487,77000,1
1979,03,E,0001147000,1220,04,235,2808,1
1979,03,N,0001845700,1220,02,107000,13850,1
1979,03,N,0001906500,1220,02,38771,17950,1
1979,03,N,0001920600,1220,02,6781,47069,1
1979,04,E,0001104640,1220,01,115492,79015,1
1979,04,E,0001104640,1220,02,42505,54688,1
1979,04,E,0001104640,2320,04,236,1422,1
1979,04,E,0001104640,4280,04,99105,70252,1
1979,04,E,0001107540,1220,01,85778,212615,1
1979,04,E,0001107540,1220,02,2932,8730,1
1979,04,E,0001107540,1220,04,145,2135,1
1979,04,E,0001107540,2320,04,221,1347,1
1979,04,E,0001107540,4279,02,11755,35000,1
1979,04,E,0001107540,4279,04,130269,239867,1
1979,04,E,0001107540,4280,04,255133,265916,1
1979,04,E,0001115000,1220,04,376,4212,1
1979,04,E,0001138040,1220,02,945,4306,1
1979,04,E,0001141140,1220,01,950,2200,1
1979,04,E,0001141140,4280,04,236,1274,1
1979,04,E,0001142120,1220,01,14887,71702,1
1979,04,E,0001142120,1220,02,6166,21750,1
1979,04,E,0001142120,4010,04,481,4162,1
1979,04,E,0001142120,4279,04,181,1980,1
1979,04,E,0001142120,4280,04,136,1396,1
1979,04,E,0001142120,4419,04,2854,24572,1
1979,04,E,0001142120,4759,04,191,1791,1
1979,04,E,0001142140,1220,01,6742,22294,1
1979,04,E,0001142140,1220,02,22819,95110,1
1979,04,E,0001142140,4280,04,304,2356,1
1979,04,E,0001142140,4419,04,269,2513,1
1979,04,E,0001142800,1220,01,44344,400899,1
1979,04,E,0001142800,4010,04,14954,99165,1
1979,04,E,0001142800,5880,04,15785,201486,1
1979,04,E,0001143500,1220,01,960,3387,1
1979,04,E,0001143500,2320,04,200,1134,1
1979,04,E,0001143500,4279,04,277,2905,1
1979,04,E,0001143500,4280,04,119,1058,1
1979,04,E,0001143500,4759,04,708,6756,1
1979,04,E,0001144900,1220,02,18354,66715,1
1979,04,N,0001845700,1220,02,58000,7890,1
1979,04,N,0001920600,1220,02,3992,24346,1
1979,05,E,0001104640,1220,01,288357,226466,1
1979,05,E,0001104640,1220,02,16978,23568,1
1979,05,E,0001104640,2320,04,479,3582,1
1979,05,E,0001104640,4210,01,1238,5570,1
1979,05,E,0001104640,4231,04,225,1200,1
1979,05,E,0001104640,4280,04,43495,25832,1
1979,05,E,0001104640,4419,04,335,2508,1
1979,05,E,0001104640,4759,04,1482,5836,1
1979,05,E,0001104640,4840,04,2111,1040,1
1979,05,E,0001107540,1220,01,69651,75291,1
1979,05,E,0001107540,1220,02,19111,32480,1
1979,05,E,0001107540,4279,02,5878,17500,1
1979,05,E,0001107540,4279,04,57707,103535,1
1979,05,E,0001107540,4280,01,296994,261904,1
1979,05,E,0001107540,4280,04,79005,90208,1
1979,05,E,0001107540,6021,04,4536,37400,1
1979,05,E,0001115000,1220,02,2785,17500,1
1979,05,E,0001115000,1220,04,638,4010,1
1979,05,E,0001126000,1220,02,1263,3930,1
1979,05,E,0001132100,1220,01,7299,44239,1
1979,05,E,0001134500,5880,04,1157,1875,1
1979,05,E,0001141140,1220,01,1080,2500,1
1979,05,E,0001141140,1220,02,1244,2880,1
1979,05,E,0001142120,1220,01,7297,43510,1
1979,05,E,0001142120,1220,02,9988,35229,1
1979,05,E,0001142120,2320,04,637,6312,1
1979,05,E,0001142120,4010,04,181,1140,1
1979,05,E,0001142120,4419,04,2836,18212,1
1979,05,E,0001142140,1220,01,36609,90480,1
1979,05,E,0001142140,1220,02,16684,70397,1
1979,05,E,0001142140,4280,04,300,2783,1
1979,05,E,0001142140,4419,04,444,3385,1
1979,05,E,0001142140,4759,04,454,4617,1
1979,05,E,0001142800,1220,01,32115,256167,1
1979,05,E,0001142800,5880,04,12020,152955,1
1979,05,E,0001143500,1220,01,16601,67650,1
1979,05,E,0001143500,4120,04,31751,105000,1
1979,05,E,0001146000,1220,01,8437,12750,1
1979,05,E,0001147000,1220,01,1814,2000,1
